"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-grsmn","loadgenerator-7b495c87ff-pb9gv","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 10:22:36,113,136,180,173,312,845,5388,154,148,166,325,70.4,224
2024-05-29 10:22:38,114,137,180,173,319,845,5350,170,148,165,325,70.4,224
2024-05-29 10:22:40,114,137,181,173,319,845,5311,185,148,165,325,72.1,224
2024-05-29 10:22:42,114,137,180,167,321,845,5272,200,148,165,325,72.1,224
2024-05-29 10:22:44,114,137,180,173,321,814,5233,215,151,165,325,72.1,224
2024-05-29 10:22:46,114,132,180,173,321,1636,5259,230,151,165,354,72.1,224
2024-05-29 10:22:48,114,181,180,265,327,1636,5220,385,151,165,354,70.8,224
2024-05-29 10:22:50,114,181,180,265,327,1636,5180,409,153,566,354,70.8,224
2024-05-29 10:22:52,115,181,180,265,327,1636,5141,433,153,566,354,70.8,224
2024-05-29 10:22:54,152,184,292,265,327,1636,5102,457,153,566,354,70.8,224
2024-05-29 10:22:56,152,184,292,265,327,1636,5063,481,153,566,354,68.5,224
2024-05-29 10:22:58,152,184,300,265,327,4171,5023,505,165,566,354,103,282
2024-05-29 10:23:00,152,184,300,265,327,4325,4984,528,165,587,356,103,284
2024-05-29 10:23:02,152,184,300,643,327,4325,5009,552,165,587,356,103,284
2024-05-29 10:23:04,152,178,300,643,344,4325,4969,990,165,1807,528,103,284
2024-05-29 10:23:06,152,177,490,643,344,4325,4929,1031,165,1807,528,103,284
2024-05-29 10:23:08,152,455,490,643,347,4325,4890,1072,165,1807,528,103,284
2024-05-29 10:23:10,147,472,490,643,347,4325,4850,1113,165,1807,528,106,284
2024-05-29 10:23:12,234,472,490,643,347,4325,4810,1154,183,1807,528,106,341
2024-05-29 10:23:14,242,472,506,671,347,10180,4770,1195,183,1872,528,161,341
2024-05-29 10:23:16,242,472,506,1105,347,10180,4731,1236,183,1872,541,161,350
2024-05-29 10:23:18,242,472,506,1105,347,10718,4691,1277,183,1872,541,161,350
2024-05-29 10:23:20,242,472,506,1105,336,10718,4726,1631,185,1872,523,161,350
2024-05-29 10:23:22,242,472,751,1105,322,10718,4686,1681,185,3666,763,161,350
2024-05-29 10:23:24,242,749,751,1105,366,10718,4645,1732,185,3879,763,161,350
2024-05-29 10:23:26,242,749,751,1105,366,15362,4605,1783,185,3879,763,161,350
2024-05-29 10:23:28,235,775,751,1105,366,15362,4565,1833,209,3879,763,219,442
2024-05-29 10:23:30,236,775,782,1128,366,15362,4524,1884,206,3879,763,219,439
2024-05-29 10:23:32,338,775,782,1096,366,15362,4484,1935,207,3879,791,219,454
2024-05-29 10:23:34,338,775,782,1753,375,16166,4297,2228,214,3879,791,219,454
2024-05-29 10:23:36,338,775,988,1753,375,16166,4446,2284,214,3879,954,219,454
2024-05-29 10:23:38,338,809,988,1753,375,16166,4405,2341,214,3879,954,219,454
2024-05-29 10:23:40,338,1045,988,1753,375,16166,4364,2398,214,5363,954,219,504
2024-05-29 10:23:42,348,1045,988,1753,377,22945,4324,2455,214,5519,954,219,504
2024-05-29 10:23:44,348,1045,1007,1753,377,22945,4283,2512,231,5706,954,217,504
2024-05-29 10:23:46,348,1045,1014,1753,377,22945,4242,2733,231,5706,954,216,504
2024-05-29 10:23:48,348,1045,1150,1753,383,24061,4201,2794,231,5706,954,298,507
2024-05-29 10:23:50,435,1045,1150,2375,383,24061,4160,2854,235,5706,991,298,522
2024-05-29 10:23:52,454,1045,1150,2375,388,24061,4220,2915,235,6828,957,298,522
2024-05-29 10:23:54,454,1316,1150,2375,388,24061,4179,2975,235,6828,1219,313,522
2024-05-29 10:23:56,454,1316,1150,2375,388,24061,4137,3036,235,6828,1219,313,506
2024-05-29 10:23:58,454,1316,1150,2375,388,29737,4095,3285,235,6828,1219,313,603
2024-05-29 10:24:00,454,1316,1150,2375,388,29737,4053,3349,248,7211,1219,313,603
2024-05-29 10:24:02,511,1316,1150,2375,388,30551,4011,3413,248,7211,1219,313,603
2024-05-29 10:24:04,511,1316,1174,2440,388,30763,3969,3477,248,7211,1219,381,623
2024-05-29 10:24:06,511,1316,1461,3078,409,31761,3928,3541,248,7211,1257,381,623
2024-05-29 10:24:08,511,1349,1510,3078,400,31761,3961,3606,255,8812,1257,381,623
2024-05-29 10:24:10,521,1620,1510,3078,414,31761,3918,3827,255,8812,1467,381,623
2024-05-29 10:24:12,539,1672,1510,3078,414,31761,3875,3894,266,8812,1467,394,623
2024-05-29 10:24:14,539,1672,1510,3078,414,38650,3833,3961,266,8812,1467,394,604
2024-05-29 10:24:16,539,1672,1510,3078,414,38650,3790,4028,266,9188,1510,394,700
2024-05-29 10:24:18,539,1672,1616,3341,414,38650,3747,4095,266,9188,1510,394,722
2024-05-29 10:24:20,614,1672,1616,3341,414,38650,3705,4162,266,9188,1510,458,722
2024-05-29 10:24:22,614,1672,1616,3341,422,39828,3662,4287,281,9188,1510,458,722
2024-05-29 10:24:24,614,1672,1693,3454,422,41035,3684,4355,281,10346,1510,475,722
2024-05-29 10:24:26,614,1672,1693,3454,426,41035,3641,4423,281,10346,1690,475,722
2024-05-29 10:24:28,634,1965,1693,3454,426,45247,3597,4491,281,10954,1750,475,722
2024-05-29 10:24:30,634,1965,1951,3454,426,45247,3554,4559,281,10954,1750,475,742
2024-05-29 10:24:32,670,1965,1951,3454,426,45247,3510,4627,281,10954,1750,475,816
2024-05-29 10:24:34,670,1965,1951,3522,426,45247,3467,4694,281,10954,1750,509,816
2024-05-29 10:24:36,670,1965,1951,4128,426,45247,3423,4762,281,11923,1750,536,816
2024-05-29 10:24:38,670,1965,1951,4128,451,45247,3380,4985,271,11923,1750,536,816
2024-05-29 10:24:40,697,2196,2042,4128,455,47724,3420,5055,320,11923,1750,536,816
2024-05-29 10:24:42,697,2196,2042,4128,455,47724,3376,5125,320,11923,1853,536,849
2024-05-29 10:24:44,697,2196,2189,4128,455,46319,3331,5195,320,11923,1853,561,849
2024-05-29 10:24:46,697,2196,2189,4128,455,52160,3287,5265,320,12725,1953,561,849
2024-05-29 10:24:48,697,2196,2189,4427,455,52160,3242,5335,320,12725,1953,561,849
2024-05-29 10:24:50,763,2196,2189,4679,470,52160,3198,5405,320,12725,1953,561,903
2024-05-29 10:24:52,798,2196,2189,4679,470,52160,3232,5585,320,13847,1953,574,903
2024-05-29 10:24:54,798,2196,2398,4679,470,54546,3186,5657,320,13847,2069,593,903
2024-05-29 10:24:56,798,2367,2477,4679,470,54546,3141,5728,309,13847,2069,593,903
2024-05-29 10:24:58,798,2510,2477,4679,470,58006,3096,5800,334,13847,2069,634,932
2024-05-29 10:25:00,798,2510,2477,4679,470,58006,3050,5871,344,13847,2069,634,932
2024-05-29 10:25:02,798,2510,2477,4679,470,58006,3005,5943,344,13847,2069,634,932
2024-05-29 10:25:04,798,2510,2477,5112,470,58006,3056,6014,344,14626,2177,634,932
2024-05-29 10:25:06,850,2510,2477,5269,478,58006,3009,6086,344,15464,2251,634,975
2024-05-29 10:25:08,870,2619,2477,5449,485,59896,2962,5816,344,15464,2251,634,975
2024-05-29 10:25:10,900,2619,2565,5449,485,61697,2915,5816,344,15464,2251,677,992
2024-05-29 10:25:12,900,2619,2664,5449,485,61697,2868,6534,344,15464,2251,698,1026
2024-05-29 10:25:14,900,2619,2664,5449,485,65350,2845,6608,334,15464,2251,698,1026
2024-05-29 10:25:16,900,2735,2664,5449,485,65350,2798,6682,359,15464,2311,698,1026
2024-05-29 10:25:18,900,2848,2664,5449,488,65350,2751,6757,371,15464,2311,698,1026
2024-05-29 10:25:20,900,2848,2790,5449,488,65350,2704,6831,371,16391,2359,698,1026
2024-05-29 10:25:22,900,2848,2790,5261,496,65350,2656,6905,371,17196,2432,698,1065
2024-05-29 10:25:24,946,2848,2881,6067,496,68244,2609,6979,371,17196,2432,698,1065
2024-05-29 10:25:26,946,2848,2881,6067,496,68244,2562,7053,371,17196,2432,733,1065
2024-05-29 10:25:28,997,2988,2881,6067,496,71733,2515,6780,371,17196,2432,771,1106
2024-05-29 10:25:30,997,2988,2881,6067,496,71733,2403,7296,371,17196,2432,771,1106
2024-05-29 10:25:32,997,2988,2881,6067,496,71733,2357,7371,359,17196,2557,771,1106
2024-05-29 10:25:34,997,2988,3016,6067,480,71733,2311,7446,365,17935,2557,771,1106
2024-05-29 10:25:36,997,2882,2923,6249,512,71733,2265,7521,400,18635,2557,771,1106
2024-05-29 10:25:38,997,3172,2903,6525,512,74643,2219,7596,400,18635,2668,771,1176
2024-05-29 10:25:40,997,3172,3262,6738,521,74643,2173,7671,400,18635,2668,771,1176
2024-05-29 10:25:42,1020,3259,3262,6738,521,74643,2127,7746,400,18635,2668,744,1212
2024-05-29 10:25:44,1077,3382,3262,6738,521,72052,2081,7822,413,18635,2668,821,1212
2024-05-29 10:25:46,1077,3382,3262,6738,521,75408,2035,7512,413,19592,2668,821,1212
2024-05-29 10:25:48,1077,3382,3361,6738,521,78191,1989,7914,413,19592,2651,821,1212
2024-05-29 10:25:50,1077,3382,3384,6738,519,78191,1943,7989,413,18985,2651,821,1177
2024-05-29 10:25:52,1077,3382,3487,6470,519,78191,1897,8063,399,19017,2786,821,1236
2024-05-29 10:25:54,1077,3276,3487,6470,534,78191,1851,8138,402,19017,2786,821,1236
2024-05-29 10:25:56,1077,3206,3372,6661,534,78191,1806,8212,402,19017,2786,858,1236
2024-05-29 10:25:58,1077,3206,3274,6901,534,78191,1760,8287,416,19017,2786,858,1236
2024-05-29 10:26:00,1018,3206,3274,6901,534,82035,1714,8361,416,19017,2786,813,1236
2024-05-29 10:26:02,1081,3324,3274,6901,522,77297,1683,8436,416,19844,2786,813,1236
2024-05-29 10:26:04,1081,3324,3274,6901,522,77297,1636,8511,416,19027,2688,813,1188
2024-05-29 10:26:06,1081,3324,3274,6901,522,77297,1590,8329,416,19027,2628,813,1188
2024-05-29 10:26:08,1081,3324,3375,6687,522,77297,1544,8402,416,19027,2689,851,1188
2024-05-29 10:26:10,1081,3182,3477,6641,522,77297,1497,8474,432,19027,2708,851,1234
2024-05-29 10:26:12,1081,3365,3324,6455,533,81421,1451,8546,417,19027,2793,851,1234
2024-05-29 10:26:14,1081,3365,3324,6455,533,81421,1405,8619,414,20121,2793,851,1234
2024-05-29 10:26:16,1081,3365,3324,6849,524,81421,1358,8691,414,20121,2793,807,1234
2024-05-29 10:26:18,1021,3365,3324,6849,524,78924,1414,8763,414,20121,2690,807,1234
2024-05-29 10:26:20,1067,3252,3324,6849,524,78381,1364,8622,414,18998,2690,807,1195
2024-05-29 10:26:22,1067,3252,3324,6849,524,76561,1314,8693,414,18998,2690,848,1176
2024-05-29 10:26:24,1067,3252,3502,6849,524,76561,1264,8763,414,18998,2690,848,1226
2024-05-29 10:26:26,1067,3252,3502,6849,524,76561,1215,8834,414,18998,2690,848,1226
2024-05-29 10:26:28,1088,3252,3387,6629,524,81086,1165,8904,432,18998,2786,848,1226
2024-05-29 10:26:30,1088,3413,3474,6584,525,81086,1115,8975,417,19959,2786,848,1226
2024-05-29 10:26:32,1088,3546,3474,7095,525,81086,1065,9046,430,19959,2786,861,1226
2024-05-29 10:26:34,1150,3546,3474,7095,522,84453,1113,9116,430,19959,2786,861,1226
2024-05-29 10:26:36,1150,3546,3474,7095,552,84453,1059,9187,430,19959,2959,861,1288
2024-05-29 10:26:38,1150,3546,3474,7095,552,84453,1005,8871,430,21455,2959,898,1338
2024-05-29 10:26:40,1150,3546,3657,7095,552,84453,951,9751,430,21455,3058,898,1338
2024-05-29 10:26:42,1150,3546,3890,7095,552,84453,897,9825,456,21455,3058,898,1338
2024-05-29 10:26:44,1150,3737,3890,7490,552,88453,843,9899,456,22856,3058,898,1338
2024-05-29 10:26:46,1111,4188,3890,7490,552,88453,789,9972,456,22856,3058,898,1338
2024-05-29 10:26:48,1334,4188,3890,8326,581,102667,735,10046,456,22856,3058,869,1338
2024-05-29 10:26:50,1334,4188,3890,8326,581,102667,,10120,456,22856,3227,1079,1338
2024-05-29 10:26:52,1413,4188,3890,8326,581,102667,,11009,494,22856,3227,1087,1413
2024-05-29 10:26:54,1413,4188,3890,8326,581,102667,,11088,494,22079,3113,1123,1654
2024-05-29 10:26:56,1413,4188,4663,8326,581,102667,,11168,511,28194,3872,1123,1654
2024-05-29 10:26:58,1587,4424,4663,8326,610,107014,,11248,511,28194,3872,1123,1654
2024-05-29 10:27:00,1587,4424,4663,8720,610,107014,,11327,511,28194,3872,1123,1654
2024-05-29 10:27:02,1587,5250,4663,8720,625,107014,,12296,511,29741,3872,1123,1654
2024-05-29 10:27:04,1587,5250,4663,8720,625,107014,,12382,511,29741,3872,1123,1654
2024-05-29 10:27:06,1587,5250,4663,9915,625,103225,,12468,573,29741,4038,1352,1654
2024-05-29 10:27:08,1587,5250,4909,9915,625,137615,,12554,580,29741,4038,1352,1887
2024-05-29 10:27:10,1663,5250,4909,9915,625,146076,,12640,599,29741,4038,1429,1935
2024-05-29 10:27:12,1663,5250,5904,10200,625,146076,,12726,599,29741,3906,1429,1998
2024-05-29 10:27:14,2039,5511,5904,10607,705,146076,,13966,599,28722,3879,1429,1998
2024-05-29 10:27:16,2039,5511,5904,10607,705,146076,,14070,599,39860,5099,1429,1998
2024-05-29 10:27:18,2039,6717,5904,11357,708,146076,,14169,599,39860,5099,1429,1998
2024-05-29 10:27:20,2039,6717,5904,11357,713,170189,,14268,681,39860,5296,1710,2292
2024-05-29 10:27:22,2039,6717,6063,11357,735,170189,,14366,681,39860,5296,1710,2292
2024-05-29 10:27:24,2271,6717,6105,11357,735,170189,,14465,681,39860,5296,1710,2292
2024-05-29 10:27:26,2374,6717,7369,11357,808,174237,,14564,689,39860,5296,1710,2292
2024-05-29 10:27:28,2374,6862,7369,11357,808,180468,,14663,712,39860,5296,1783,2393
2024-05-29 10:27:30,2374,7818,7369,12298,808,180468,,14241,712,46725,6196,1783,2393
2024-05-29 10:27:32,2374,8068,7369,12840,808,180468,,17177,770,47663,6490,1783,2393
2024-05-29 10:27:34,2374,8068,7369,12840,808,180468,,17325,770,49200,6490,1783,2393
2024-05-29 10:27:36,2620,8068,7369,12840,808,180468,,17444,770,49200,6490,1723,2748
2024-05-29 10:27:38,2714,8068,7369,12840,822,220612,,17562,770,49200,6490,2192,2748
2024-05-29 10:27:40,2714,8068,7594,12840,822,220612,,17680,770,49200,6490,2292,2748
2024-05-29 10:27:42,2714,8068,8932,12840,796,220612,,17736,770,49200,6490,2292,2841
2024-05-29 10:27:44,2714,8068,8932,12840,919,220612,,17736,864,49200,7320,2292,2841
2024-05-29 10:27:46,2714,7816,8932,12840,919,227446,,19514,864,55992,7557,2292,2841
2024-05-29 10:27:48,2714,9323,8932,12667,932,227446,,19939,864,55992,7557,2292,2841
2024-05-29 10:27:50,2714,9387,8932,14467,932,227446,,19967,864,57568,7557,2292,2841
2024-05-29 10:27:52,2623,9678,8932,14467,932,227446,,19967,864,57568,7557,2549,3198
2024-05-29 10:27:54,3239,9678,9080,14467,977,227446,,19967,914,57568,7557,2549,3198
2024-05-29 10:27:56,3239,9678,10056,14467,977,219296,,19967,914,57568,7557,2549,3198
2024-05-29 10:27:58,3239,9678,10056,14467,977,273374,,19967,933,57568,7557,2640,3267
2024-05-29 10:28:00,3239,9678,10056,14467,977,273374,,21596,933,57568,7557,2640,3267
2024-05-29 10:28:02,3239,9678,10056,14662,977,273374,,21596,933,64067,8463,2640,3267
2024-05-29 10:28:04,3239,9371,10056,15410,967,273374,,22153,986,63992,8738,2862,3267
2024-05-29 10:28:06,3239,9306,10368,15410,974,273374,,22153,986,66244,8738,2862,3545
2024-05-29 10:28:08,3239,11227,10368,15410,1004,273374,,22153,986,66244,8738,2862,3545
2024-05-29 10:28:10,3553,11227,10368,15410,973,273374,,22153,986,66244,8738,2862,3545
2024-05-29 10:28:12,3560,11227,11579,15410,1097,273374,,22153,1009,70426,8738,2862,3638
2024-05-29 10:28:14,3689,11227,11579,15410,1097,312064,,22153,1009,70426,8738,2934,3638
2024-05-29 10:28:16,3689,11227,11579,15789,1097,312064,,23959,1009,70426,8738,2934,3638
2024-05-29 10:28:18,3689,11227,11579,15789,1097,312064,,23959,1009,70426,8738,2934,3638
2024-05-29 10:28:20,3689,11227,11579,15266,1097,312064,,24508,1083,70426,9609,3220,3638
2024-05-29 10:28:22,3689,11227,11888,16793,1097,312064,,24508,1083,70672,9867,3220,3638
2024-05-29 10:28:24,3971,12638,11888,16793,1114,312064,,24508,1083,72931,9867,3220,3950
2024-05-29 10:28:26,3971,12638,11888,16793,1174,324005,,24508,1083,72931,9867,3220,3950
2024-05-29 10:28:28,3971,12638,11530,16793,1174,324005,,24508,1115,78020,9867,3240,4053
2024-05-29 10:28:30,3971,12638,12844,16793,1174,349590,,25650,1115,78020,10301,3360,4053
2024-05-29 10:28:32,3996,12638,12844,16793,1174,349590,,25650,1162,78020,10301,3360,4053
2024-05-29 10:28:34,4126,12638,12844,17164,1211,349590,,26265,1162,78020,10301,3360,4053
2024-05-29 10:28:36,4126,12638,13322,17164,1211,349590,,26265,1162,78020,10366,3256,4053
2024-05-29 10:28:38,4126,12638,13322,17960,1211,349590,,26265,1162,81519,10710,3596,4053
2024-05-29 10:28:40,3999,12593,13871,17960,1211,349590,,26265,1162,83533,10710,3596,3931
2024-05-29 10:28:42,4452,13851,13871,17960,1173,360518,,26265,1162,83533,10710,3596,4480