"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 12:06:58,0
2024-05-29 12:07:00,0
2024-05-29 12:07:02,0
2024-05-29 12:07:04,0
2024-05-29 12:07:06,0
2024-05-29 12:07:08,0
2024-05-29 12:07:10,0
2024-05-29 12:07:12,0
2024-05-29 12:07:14,0
2024-05-29 12:07:16,0
2024-05-29 12:07:18,0
2024-05-29 12:07:20,276
2024-05-29 12:07:22,276
2024-05-29 12:07:24,291
2024-05-29 12:07:26,575
2024-05-29 12:07:28,575
2024-05-29 12:07:30,575
2024-05-29 12:07:32,575
2024-05-29 12:07:34,575
2024-05-29 12:07:36,568
2024-05-29 12:07:38,578
2024-05-29 12:07:40,597
2024-05-29 12:07:42,580
2024-05-29 12:07:44,580
2024-05-29 12:07:46,580
2024-05-29 12:07:48,580
2024-05-29 12:07:50,566
2024-05-29 12:07:52,566
2024-05-29 12:07:54,566
2024-05-29 12:07:56,589
2024-05-29 12:07:58,579
2024-05-29 12:08:00,570
2024-05-29 12:08:02,557
2024-05-29 12:08:04,557
2024-05-29 12:08:06,557
2024-05-29 12:08:08,583
2024-05-29 12:08:10,583
2024-05-29 12:08:12,583
2024-05-29 12:08:14,583
2024-05-29 12:08:16,568
2024-05-29 12:08:18,582
2024-05-29 12:08:20,571
2024-05-29 12:08:22,579
2024-05-29 12:08:24,579
2024-05-29 12:08:26,579
2024-05-29 12:08:28,579
2024-05-29 12:08:30,565
2024-05-29 12:08:32,574
2024-05-29 12:08:34,585
2024-05-29 12:08:36,570
2024-05-29 12:08:38,578
2024-05-29 12:08:40,580
2024-05-29 12:08:42,590
2024-05-29 12:08:44,590
2024-05-29 12:08:46,572
2024-05-29 12:08:48,572
2024-05-29 12:08:50,558
2024-05-29 12:08:52,566
2024-05-29 12:08:54,577
2024-05-29 12:08:56,577
2024-05-29 12:08:58,594