"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-pc9rs","loadgenerator-7b495c87ff-zq277","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 11:52:04,111,150,179,174,322,649,334,4899,148,169,324,70.8,243
2024-05-29 11:52:06,111,150,179,174,322,649,349,4859,148,169,324,71.3,243
2024-05-29 11:52:08,111,149,179,174,322,649,364,4819,157,167,399,71.3,243
2024-05-29 11:52:10,111,149,179,174,322,649,584,4779,157,167,399,71.3,243
2024-05-29 11:52:12,111,149,179,168,322,649,607,4739,157,167,399,71.3,243
2024-05-29 11:52:14,174,149,489,514,322,649,630,4699,157,162,399,131,243
2024-05-29 11:52:16,174,149,489,514,319,649,652,4659,157,2258,399,131,243
2024-05-29 11:52:18,174,149,499,528,351,11002,675,4375,157,2258,399,131,243
2024-05-29 11:52:20,176,144,499,528,351,11410,698,4518,185,2322,405,134,419
2024-05-29 11:52:22,176,750,499,528,351,11410,1544,4478,186,2395,799,134,419
2024-05-29 11:52:24,176,750,499,1293,351,11410,1593,4439,192,2395,799,134,419
2024-05-29 11:52:26,345,750,499,1293,351,11410,1642,4399,192,2395,799,134,419
2024-05-29 11:52:28,345,750,1234,1319,351,11410,1690,4359,192,2395,799,292,419
2024-05-29 11:52:30,345,750,1243,1328,354,11684,1739,4320,192,7088,799,292,419
2024-05-29 11:52:32,356,1356,1281,1370,354,11765,1788,4280,192,7088,799,292,619
2024-05-29 11:52:34,356,1406,1281,1370,343,11750,1837,4241,268,7088,799,303,619
2024-05-29 11:52:36,356,1406,1281,1370,428,39036,1886,4172,268,7088,1584,303,619
2024-05-29 11:52:38,636,1406,1281,1370,428,39036,1692,4133,268,7405,1595,303,619
2024-05-29 11:52:40,636,1406,1281,2697,428,39036,3931,4094,266,7405,1645,303,619
2024-05-29 11:52:42,636,1406,2087,2697,428,39036,4028,4054,276,7405,1645,303,619
2024-05-29 11:52:44,636,2286,2087,2697,428,39036,4125,4015,276,7405,1645,293,955
2024-05-29 11:52:46,652,2286,2087,2697,437,39036,4222,3976,276,7182,1645,664,955
2024-05-29 11:52:48,675,2286,2205,2853,500,39036,4319,3936,276,15541,1645,686,955
2024-05-29 11:52:50,1004,2286,2205,3863,500,73981,4415,3897,268,15982,1645,686,955
2024-05-29 11:52:52,1004,2415,2205,3863,500,73981,4512,3567,368,16547,2616,686,955
2024-05-29 11:52:54,1004,3345,2205,3863,500,73981,4609,3567,368,16547,2616,686,955
2024-05-29 11:52:56,1004,3345,2205,3863,500,73981,4706,3730,368,16547,2711,686,988
2024-05-29 11:52:58,1004,3345,2129,3863,500,73981,6984,3691,368,16547,2711,722,1348
2024-05-29 11:53:00,1004,3345,3878,3863,500,99655,7125,3652,370,16547,2711,722,1348
2024-05-29 11:53:02,1004,3345,3878,3863,595,99655,7265,3613,381,16547,2711,1118,1348
2024-05-29 11:53:04,1025,3345,3978,5217,595,103292,7406,3574,381,15983,2711,1118,1348
2024-05-29 11:53:06,1026,3345,4100,5377,595,103292,7547,3535,370,15872,3707,1118,1348
2024-05-29 11:53:08,1019,3491,4100,5377,595,103292,7688,3496,496,28145,3912,1118,1401
2024-05-29 11:53:10,1589,3378,4100,5377,595,103292,9440,3458,496,28341,3912,1118,1401
2024-05-29 11:53:12,1589,3354,4100,5377,590,103292,9610,3433,496,29314,3912,1118,1401
2024-05-29 11:53:14,1589,5083,4100,6430,611,107785,9780,3394,496,29314,3912,1172,1358
2024-05-29 11:53:16,1589,5083,5246,6430,611,150096,9949,3355,496,29314,3912,1172,1788
2024-05-29 11:53:18,1589,5083,5246,6430,611,150096,10119,3316,510,29314,3912,1137,1788
2024-05-29 11:53:20,1589,5347,5246,6430,588,150096,10289,3277,510,29314,3912,1129,1868
2024-05-29 11:53:22,1681,5347,5506,6745,751,150096,11994,3238,510,29314,3789,1612,1868
2024-05-29 11:53:24,2016,5347,5506,6745,751,150096,12188,3199,604,28298,5339,1612,1868
2024-05-29 11:53:26,2016,5347,5506,6745,751,155859,12383,3146,604,39796,5527,1612,1868
2024-05-29 11:53:28,2016,5347,6612,6745,751,155859,12578,3107,612,41500,5527,1695,1868
2024-05-29 11:53:30,2016,6733,6612,8212,751,185708,12772,3068,616,41500,5527,1695,1868
2024-05-29 11:53:32,2016,6733,6612,8212,768,185708,12967,3029,636,41500,5527,1934,2185
2024-05-29 11:53:34,2016,7026,6612,8212,768,185708,13162,2990,636,41500,5527,1934,2185
2024-05-29 11:53:36,2016,7026,6814,8703,768,190628,13357,2952,636,41500,5527,1934,2242
2024-05-29 11:53:38,2016,7026,7049,8703,869,191947,12565,3001,636,41500,5527,1934,2257
2024-05-29 11:53:40,2348,7026,8017,8703,869,197837,15991,2961,726,43425,5363,1934,2326
2024-05-29 11:53:42,2431,7817,8017,8703,900,197837,16217,2921,726,42005,5552,1984,2326
2024-05-29 11:53:44,2431,7817,8017,8452,900,191885,16444,2881,726,53298,7131,1998,2548
2024-05-29 11:53:46,2431,7817,8017,8394,900,190566,16670,2842,726,53298,7131,2062,2548
2024-05-29 11:53:48,2431,8060,8017,10401,900,244913,16896,2802,747,53298,7131,1993,2548
2024-05-29 11:53:50,2431,8115,8017,10401,900,244913,17123,2799,747,53298,7131,2431,2548
2024-05-29 11:53:52,2431,8370,8017,10968,900,244913,17349,2759,816,53298,7131,2431,2548
2024-05-29 11:53:54,2431,8370,8449,10968,900,254031,17576,2718,816,56015,7323,2431,2548
2024-05-29 11:53:56,2349,8370,8190,10968,1008,254031,16692,2678,816,56015,8153,2431,2631
2024-05-29 11:53:58,2806,9503,9640,10968,1022,254031,20110,2637,854,56015,8433,2431,2631
2024-05-29 11:54:00,2806,9503,9640,11824,1056,254031,20363,2597,854,64577,8433,2431,2539
2024-05-29 11:54:02,2806,9503,9640,11824,1056,286794,20616,2556,854,64577,8433,2549,2971
2024-05-29 11:54:04,2806,9503,9640,11824,1056,286794,20868,2516,854,64577,8433,2549,2971
2024-05-29 11:54:06,2806,9503,9640,11824,1056,302054,21121,2400,854,64577,8433,2849,3139
2024-05-29 11:54:08,2806,9883,9640,12258,1056,302054,21373,2548,936,67001,8433,2849,3139
2024-05-29 11:54:10,2923,9883,10167,12258,1056,302054,22852,2506,936,67001,9214,2849,3139
2024-05-29 11:54:12,2995,9883,10167,13258,1056,302054,23119,2463,936,72839,9214,2849,3139
2024-05-29 11:54:14,3016,9586,11098,13258,1154,302054,23386,2421,982,72839,9466,2849,3139
2024-05-29 11:54:16,3108,10963,11098,13258,1154,302054,23653,2378,982,72839,9777,2962,3139
2024-05-29 11:54:18,3108,11436,11098,13753,1195,331151,23920,2336,982,75164,9777,2962,3139
2024-05-29 11:54:20,3108,11436,11098,13753,1195,340215,24187,2294,982,77697,9777,2962,3370
2024-05-29 11:54:22,3108,11436,11098,13753,1195,342566,24454,2251,1041,77697,9777,2962,3522
2024-05-29 11:54:24,3108,11436,11948,13753,1195,352589,24721,2255,1041,77697,9777,3221,3522
2024-05-29 11:54:26,3108,11436,12347,13361,1238,352589,23731,2212,1041,83379,9466,3396,3522
2024-05-29 11:54:28,3265,11436,12347,13629,1238,352589,23731,2169,1041,83379,10697,3396,3522
2024-05-29 11:54:30,3265,12129,12347,15341,1238,352589,27285,2125,1081,83379,10697,3396,3522
2024-05-29 11:54:32,3368,12785,12347,15447,1289,381775,27570,2082,1081,83379,11310,3396,3522
2024-05-29 11:54:34,3479,12785,12347,15897,1289,381775,27855,1953,1081,83379,11310,3396,3522
2024-05-29 11:54:36,3479,12785,12347,15897,1289,381775,28141,2127,1081,88333,11310,3396,3519
2024-05-29 11:54:38,3479,12785,13095,15897,1358,402118,28426,2081,1049,88333,11310,3396,3877
2024-05-29 11:54:40,3479,12785,13095,15897,1358,402118,28712,2035,1140,94475,11993,3646,3877
2024-05-29 11:54:42,3479,13520,13580,16804,1358,402118,28997,1988,1140,94475,11993,3839,3877
2024-05-29 11:54:44,3562,13520,13580,16804,1358,402118,29282,1942,1197,94475,11993,3839,3877
2024-05-29 11:54:46,3562,14237,13580,16804,1415,390864,28206,1896,1197,94475,11993,3839,4051
2024-05-29 11:54:48,3562,14237,13580,17505,1415,388184,31152,1850,1197,94475,12690,3839,4051
2024-05-29 11:54:50,3730,14237,13580,17505,1415,428954,31449,1803,1197,94475,12690,3839,4051
2024-05-29 11:54:52,3730,14237,14156,17999,1456,428954,31747,1905,1197,100803,12690,3839,4051
2024-05-29 11:54:54,3730,14237,13689,17999,1456,453414,32045,1855,1197,100803,12690,3839,4051
2024-05-29 11:54:56,3730,14626,14599,17999,1456,453414,32343,1805,1236,100803,13197,3969,3910
2024-05-29 11:54:58,3730,14626,14599,17999,1456,453414,32641,1755,1259,100803,13197,4105,4181
2024-05-29 11:55:00,3608,14626,14599,18851,1456,453414,32938,1705,1268,100803,13197,4105,4396
2024-05-29 11:55:02,3789,15218,14599,18851,1529,453414,34551,1655,1309,104514,13197,4105,4396
2024-05-29 11:55:04,3926,15218,15029,18851,1534,453414,34861,1672,1309,104514,13919,4105,4396
2024-05-29 11:55:06,3926,15218,15133,18851,1534,437759,35170,1620,1309,104514,13919,4105,4396
2024-05-29 11:55:08,3926,15218,15615,18634,1534,434736,35480,1568,1309,101098,13919,4137,4396
2024-05-29 11:55:10,3926,15218,15615,18634,1534,470720,35790,1517,1309,100401,13919,4265,4396
2024-05-29 11:55:12,3926,14735,15077,18634,1534,470720,36099,1465,1254,102914,13472,4265,4396
2024-05-29 11:55:14,3892,15134,14957,19370,1534,470720,36785,1413,1254,106592,13472,4265,4356
2024-05-29 11:55:16,4016,15530,14957,19370,1534,470720,37098,1330,1254,106592,13472,4265,4356
2024-05-29 11:55:18,4016,15530,14957,19370,1534,470720,37411,1279,1295,106592,13472,4265,4356
2024-05-29 11:55:20,4016,15530,14957,19370,1565,494616,37723,1229,1295,106592,13975,4108,4356
2024-05-29 11:55:22,4016,15530,14957,19370,1537,494616,38036,1179,1295,106592,13975,4108,4356
2024-05-29 11:55:24,4016,15530,15020,19560,1537,470052,38349,1128,1295,111619,13975,4108,4356
2024-05-29 11:55:26,4016,15530,15020,19008,1537,470052,37854,1078,1295,111619,13975,4296,4356
2024-05-29 11:55:28,4016,14855,15020,19008,1537,470052,38161,1027,1266,105316,13261,4296,4625
2024-05-29 11:55:30,3803,14855,15020,19008,1537,470052,38467,946,1305,105316,13261,4155,4625
2024-05-29 11:55:32,3957,14855,15020,19008,1537,470052,38773,897,1305,105316,13800,4155,4384
2024-05-29 11:55:34,3957,15346,15020,19008,1537,494965,39079,848,1305,105316,13800,4155,4384
2024-05-29 11:55:36,3957,15871,15479,19566,1537,494965,39386,798,1305,111666,13800,4155,4384
2024-05-29 11:55:38,3957,15871,16024,20205,1558,473570,39692,749,1305,111666,13583,4347,4384
2024-05-29 11:55:40,3957,15871,15540,20205,1580,473570,39998,700,1305,111666,13583,4347,4384
2024-05-29 11:55:42,3957,15871,16253,20211,1580,473570,38817,650,1305,111666,14224,4347,4465
2024-05-29 11:55:44,4009,15369,16253,20211,1580,473570,41979,601,1309,111666,14224,4347,4465
2024-05-29 11:55:46,4009,16467,16253,20211,1580,473570,42295,552,1367,107482,14224,4207,4709
2024-05-29 11:55:48,4009,16467,16253,20211,1580,473570,42612,,1367,114463,14224,4178,4709
2024-05-29 11:55:50,4009,16467,16253,20211,1580,500299,42928,,1367,114463,14224,4511,4709